0	Should students be taught to compete or to cooperate ?
1	More people are migrating to other countries than ever before
2	International tourism is now more common than ever before
3	Will newspapers become a thing of the past ?
4	Government budget focus , young children or university ?
5	Roommates quality and their importance
6	Should governments spend more money on improving roads and highways
7	Physical exercise
8	Technology inspires children ' s creativity instead of weakening it
9	Lessons with teachers versus others sources
10	Email and text messaging threats written language
11	Using animals for the benefit of the human beings
12	Television is the culprit for destroying communication between friends & family
13	Gender Equality at university admission
14	Some young adults want independence from their parents quickly
15	Air pollution
16	Young people should go to university or not
17	Effects of mobile phones
18	Influence of large factories
19	Prepared Food
20	Financial aid to develop countries
21	Society should ban all forms of the advertising
22	Do married women usually work ? Why and why not ?
23	Government and education
24	Alternative forms of transport to alleviate traffic congestion
25	Giving aid to poorer countries has more negative effects than positive effect
26	Effects of globalization
27	Study at school or get a job ?
28	High sales reflect power of advertising and not the real need
29	Gun control
30	International sporting occasions help to ease international tensions
31	Technology that widen the gap between rich and poor ?
32	Why should human beings travel to outer space ?
33	Benefits of students doing extra jobs
34	Benefits of students ' unpaid work
35	Government should make more effort to promote alternative sources of energy
36	True function of a university
37	Zoos should be built to protect rural animals
38	Distance - learning vs . attending school in person
39	Do modern communication technologies benefit all people
40	Should high school make music lessons compulsory
41	Universities should give money to sport activities or libraries
42	Should teenagers learn all school subjects / focus on one subject
43	Influence of English - advantages outweigh the disadvantages
44	Creativity - should it be given freedom or restrictions
45	Competition or co - operation - which is better
46	Capital punishment - necessary or not
47	Is a break good or bad after high school for students
48	Should universities accept equal number of males / females or not
49	People will spend less time on cooking food
50	Traditional games or modern games in developing children ' s skills
51	Government shouldn ' t put money on building theaters or sports stadiums
52	Technology keeps traditional skills and ways of life alive or not ?
53	Creative Artists
54	Nowadays there are more opportunities for women than there were in the past
55	Growing traffic and pollution can be controlled by increasing petrol prices
56	Is image more powerful than the written word ?
57	Several languages are in danger of extinction
58	Do arts and music improve the quality of life ?
59	Government should be responsible for education and health care or not ?
60	Economic development vs environment
61	Government should spend money on ARTs , not only on public services
62	Artists ' freedom to express ideas
63	The nuclear power provide clean and cheap energy
64	Giving mobile phones to the unemployed
65	Use of CCTV cameras
66	Some prefer to work for a company , some prefer to work for themselves
67	The expression  Never , never give up  means keep trying and never stop working
68	Some people think that human needs for farmland , housing and industry are more
69	Best way to judge about people is to be familiar with their personality - not with their look
70	should one follow fashion trends rather than a personal style ?
71	Should wealthy nations support poor ones ?
72	Prevention is better than cure
73	The popularity of news media
74	Jury must have access to criminals ' past records
75	Taking a break before starting higher education is a good idea
76	University education is needed for success
77	Should people be forced to stop working ?
78	Should the cost of medicines be reduced ?
79	Human activities are harming the Earth
80	Amount of control on media information
81	Citizen ' s only responsibility is to pay taxes
82	Testing on animals and keeping them in unnatural conditions
83	 Pen and Paper  Examination
84	Richer nations should help poorer nations in health , education and trade
85	There will be soon no role for teachers in classrooms
86	Advanced fertilizers and machine for farmers , good or bad ?
87	Funding artists
88	Capital punishment is necessary or not ?
89	Businesses should be only concerned about making profits .
90	New high school
91	Parents or other adult relatives should make important decisions for their olde
92	Children are free
93	Concentrate on the objectives - people attend schools for various reasons
94	People are put too much focus on making wealth and progress in technology
95	Educated high - school students with bright and independent mind
96	Under suitable administration , tourism enhances local economic development
97	The government should allocate more funds to public services instead of arts
98	People are now more conscious to gain more educational qualification
99	Nowadays human activities are influenced by computer use
100	Qualification is still the fundamental determinant of an employee ' s competency of their jobs
101	International aid
102	Popular events are essential
103	Distance - learning cannot bring the benefits that traditional colleges offer
104	Every student either male or female should be given equal opportunity
105	More convincing
106	Successful people do something new or take risks
107	University education should be only available for good students
108	Improving facilities is the best way
109	High schools must be responsible for their future with well - planned curriculum
110	The importance of games for adults comparing to children
111	Opinions regarding world culture
112	Reading fictions is more pleasant
113	Various local languages are becoming extinct
114	Do you believe that elderly people used to live in a better world ?
115	Higher school students should be taught how to manage money
116	Smoking should not be permitted in restaurants
117	Growing violence in films has affected youngsters in a negative way ?
118	Gossip - based information
119	Old buildings should be preserved
120	Popularity of mobile phones to young people
121	Leisure activities - Spend your free time outdoors or indoors .
122	Cheap air travel should be encouraged ?
123	Salary increases and promotions to new positions are not the only ways
124	Attending university classes should be required or optional
125	Small town vs . Big city ( opportunities , entertainment , job places )
126	Computers have made life easier
127	Computers have made it possible for office workers to do their work
128	Technological progress in the past century has its negative effect
129	Zoos have no useful purpose ?
130	Serious or entertaining movies
131	Overemphasizing on personal lives of famous people by media
132	Why people visit museums ?
133	I believe it is a good idea to build a large shopping center in our community
134	What is a very important skill a person should learn
135	Establishing a new university in your community
136	Television versus Friends and family
137	Live football game at a stadium
138	Fossil fuels will soon be replaced ?
139	Physical exercise should be required part of every school day
140	Do you think it is good for teenagers to work while schooling ?
141	Studying alone or in a group
142	Should animals be free or live in zoos ?
143	A university plans to devlope a new research centre in your country
144	People learn in different ways and what teaching method do you prefer ?
145	Cheap air travel should be encouraged ?
146	Improve roads or public transports
147	Some people believe that the Earth is being harmed by human
148	Spending money on supporting art or protecting environment
149	Luck vs hard work
150	Should students be required to attend classes ?
151	Living in smal towns
152	Young people move to cities
153	Basic economic class can help the students touch the surface of this field
154	Work in team or independently
155	Smoking should not be promitted in restaurants or other public places
156	People should have hobbies and do physical activities
157	Government should regard investing in building roads as the most important
158	The best way of learning life
159	Modern cooking methods have improved our life - style significantly
160	Are parents best teachers ?
161	Tv has NO negative effects on children
162	Businesses had better not employ the workers for the whole of their life
163	Success and knowledge
164	Television destroys communication among friends and family
165	Children should grow up in a big city !
166	Parents are the best teachers because they are more special than everybody else
167	Easy preparation of food leads to a better life
168	Should University education be free for everyone interested ?
169	Should professors doing more research or educating students more ?
